3969566.0,1.4625328397390351e+18,Other Cities,33.84763,3.0,2022-09-13,0
6358823.0,1.4627044142823798e+18,City of Los Angeles,34.2018,30.0,2025-04-20,0
6448563.0,1.4625456340233303e+18,City of Los Angeles,34.033012730105725,30.0,2023-10-30,0
6416857.0,1.462705899100311e+18,Other Cities,33.87982,30.0,nan,0
6328783.0,1.4627036603761162e+18,City of Los Angeles,33.99743,10.0,2025-12-31,1
6627058.0,1.4627112712047022e+18,Other Cities,34.08478,60.0,2018-08-01,0
6689265.0,1.4627128229792502e+18,City of Los Angeles,34.00681,30.0,2025-11-20,22
4260628.0,1.462534535000832e+18,City of Los Angeles,34.10051,2.0,2026-06-10,60
9250479.0,1.462568743048322e+18,City of Los Angeles,34.10245,30.0,2020-02-02,0
9578605.0,1.4628178403182492e+18,Other Cities,33.96964,1.0,2026-06-10,42
51610630.0,1.4627203224178465e+18,Other Cities,33.76702,3.0,2026-03-22,18
6882944.0,1.462717712206257e+18,Other Cities,34.08739,30.0,2026-05-03,1
11016274.0,1.4625768595401592e+18,Other Cities,33.76989,1.0,2026-06-08,49
11181341.0,1.462577530250586e+18,City of Los Angeles,33.991367,1.0,2026-06-13,54
629811.0,1.4625242152673354e+18,Other Cities,33.85591,1.0,2026-05-19,16
11366227.0,1.4628631734451205e+18,Other Cities,33.760468,31.0,2026-03-31,4
3541461.0,1.4625304995615813e+18,City of Los Angeles,34.04678,31.0,2014-03-21,0
8694124.0,1.462773960787805e+18,City of Los Angeles,34.0618,3.0,2026-05-04,7
402155066.0,1.4636188688040133e+18,City of Los Angeles,34.04262,30.0,2021-07-25,0
123087.0,1.4625101521812022e+18,City of Los Angeles,33.99534,30.0,2019-12-15,0
3009806.0,1.4626149293185577e+18,City of Los Angeles,34.08133,1.0,2026-05-25,9
232535.0,1.4625133288296305e+18,Other Cities,33.90052,1.0,2026-05-24,30
7355875.0,1.4625604975325302e+18,Other Cities,34.0395,2.0,2026-06-14,6
9352017.0,1.4628119366010092e+18,City of Los Angeles,33.98315,30.0,2025-04-08,0
4408677.0,1.4626567077199698e+18,City of Los Angeles,33.98821,30.0,2015-07-06,0
12911960.0,1.4625843238913147e+18,Other Cities,33.80408,1.0,2025-08-26,1
8432203.0,1.4627677818822339e+18,City of Los Angeles,34.07088,31.0,2026-05-10,2
13130448.0,1.4629039836438226e+18,Other Cities,34.03888,60.0,2021-01-03,0
2126106.0,1.4625870417718136e+18,City of Los Angeles,34.00702,30.0,nan,0
3392276.0,1.4625296712410327e+18,City of Los Angeles,34.0476258,30.0,2025-11-30,1
11913406.0,1.4628759132694116e+18,Other Cities,34.38335,2.0,2025-08-17,2
12226390.0,1.462882908473178e+18,Unincorporated Areas,34.07101,3.0,2024-12-12,0
2915190.0,1.462612346891396e+18,Unincorporated Areas,33.99085,2.0,2017-05-31,0
12372378.0,1.4628862481747034e+18,Unincorporated Areas,34.00458,7.0,2017-07-25,0
12502567.0,1.462582735016554e+18,Other Cities,33.88329,30.0,2019-06-24,0
9961576.0,1.4628281381417766e+18,City of Los Angeles,34.13529565836857,1.0,2026-05-23,29
31306.0,1.4625071740957304e+18,Other Cities,33.83960571515462,30.0,2025-09-22,3
10265095.0,1.4625734097941417e+18,Other Cities,34.00365,1.0,2026-05-25,88
10295084.0,1.4628367274402875e+18,City of Los Angeles,33.97141,30.0,nan,0
10538921.0,1.4625747029880579e+18,Other Cities,34.0076,3.0,2026-06-08,50
10585988.0,1.4628445329103014e+18,Other Cities,34.14354,3.0,2026-06-15,22
8265644.0,1.4625645051291228e+18,City of Los Angeles,34.04580677183348,30.0,2026-05-08,2
